Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,3900.0,3912.5,3875.0,3887.5,3091.6630859375,82851000
2019-07-23,3912.5,3925.0,3850.0,3850.0,3061.83984375,74981800
2019-07-24,3850.0,3912.5,3850.0,3850.0,3061.83984375,65565800
2019-07-25,3862.5,3900.0,3850.0,3900.0,3101.60400390625,77462000
2019-07-26,3825.0,3887.5,3812.5,3875.0,3081.721923828125,62727400
2019-07-29,3912.5,3912.5,3837.5,3900.0,3101.60400390625,55206400
2019-07-30,3900.0,3987.5,3862.5,3975.0,3161.250244140625,87075600
2019-07-31,3937.5,3987.5,3900.0,3987.5,3171.191162109375,59008800
2019-08-01,3937.5,3950.0,3862.5,3887.5,3091.6630859375,96731000
2019-08-02,3850.0,3875.0,3800.0,3837.5,3051.89892578125,103727000
2019-08-05,3800.0,3825.0,3662.5,3712.5,2952.488525390625,129862600
2019-08-06,3650.0,3700.0,3550.0,3625.0,2882.9013671875,157132400
2019-08-07,3637.5,3700.0,3637.5,3675.0,2922.665283203125,103932800
2019-08-08,3725.0,3762.5,3675.0,3750.0,2982.3115234375,85711800
2019-08-09,3750.0,3775.0,3725.0,3725.0,2962.429443359375,39017600
2019-08-12,3750.0,3750.0,3675.0,3700.0,2942.547119140625,69256600
2019-08-13,3775.0,3775.0,3650.0,3675.0,2922.665283203125,68067800
2019-08-14,3750.0,3762.5,3675.0,3750.0,2982.3115234375,107613000
2019-08-15,3675.0,3700.0,3650.0,3700.0,2942.547119140625,57456400
2019-08-16,3700.0,3712.5,3662.5,3687.5,2932.606201171875,47693000
2019-08-19,3725.0,3725.0,3662.5,3675.0,2922.665283203125,38551200
2019-08-20,3712.5,3725.0,3650.0,3687.5,2932.606201171875,75396200
2019-08-21,3662.5,3675.0,3612.5,3612.5,2872.960205078125,49841400
2019-08-22,3650.0,3662.5,3575.0,3612.5,2872.960205078125,77652800
2019-08-23,3625.0,3625.0,3575.0,3587.5,2853.078125,44535800
2019-08-26,3550.0,3550.0,3500.0,3525.0,2803.373046875,78614600
2019-08-27,3525.0,3562.5,3512.5,3512.5,2793.431640625,153201600
2019-08-28,3512.5,3550.0,3475.0,3525.0,2803.373046875,96082400
2019-08-29,3525.0,3550.0,3512.5,3537.5,2813.313720703125,63748800
2019-08-30,3562.5,3625.0,3537.5,3625.0,2882.9013671875,106370600
2019-09-02,3612.5,3612.5,3562.5,3587.5,2853.078125,37622200
2019-09-03,3587.5,3600.0,3412.5,3450.0,2743.726806640625,96998200
2019-09-04,3487.5,3487.5,3425.0,3462.5,2753.667236328125,74434600
2019-09-05,3500.0,3512.5,3462.5,3487.5,2773.5498046875,78642800
2019-09-06,3512.5,3575.0,3487.5,3525.0,2803.373046875,88646000
2019-09-09,3537.5,3537.5,3462.5,3487.5,2773.5498046875,55841400
2019-09-10,3450.0,3525.0,3450.0,3525.0,2803.373046875,52070400
2019-09-11,3500.0,3575.0,3475.0,3575.0,2843.136962890625,80777800
2019-09-12,3625.0,3662.5,3550.0,3575.0,2843.136962890625,84564600
2019-09-13,3612.5,3625.0,3562.5,3600.0,2863.01904296875,28700200
2019-09-16,3525.0,3550.0,3462.5,3500.0,2783.490478515625,66615800
2019-09-17,3462.5,3550.0,3462.5,3487.5,2773.5498046875,70992200
2019-09-18,3537.5,3600.0,3525.0,3600.0,2863.01904296875,53708400
2019-09-19,3587.5,3587.5,3537.5,3550.0,2823.2548828125,35941600
2019-09-20,3550.0,3575.0,3487.5,3537.5,2813.313720703125,104743400
2019-09-23,3525.0,3550.0,3475.0,3500.0,2783.490478515625,49012600
2019-09-24,3462.5,3487.5,3425.0,3475.0,2763.60888671875,52110000
2019-09-25,3487.5,3500.0,3437.5,3450.0,2743.726806640625,37565400
2019-09-26,3500.0,3550.0,3475.0,3550.0,2823.2548828125,45471400
2019-09-27,3500.0,3525.0,3475.0,3487.5,2773.5498046875,44329400
